ano,mes,tipo_unidade,nivel_atencao,cbo,categoria,especialidade,FTE,quantidade
2008,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,223124,Médico,,297,20
2008,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,223131,Médico,,55,4
2009,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,223109,Médico,,28,2
2009,03,POSTO DE SAUDE,APS,2235C2,Enfermeiro,,184,12
2009,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,223134,Médico,,130,4
2009,08,POSTO DE SAUDE,APS,223146,Médico,,34,3
2010,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,223135,Médico,,40,1
2010,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,223153,Médico,,434,28
2011,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,223139,Médico,,26,2
2011,06,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,223149,Médico,,20,1
2012,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225265,Médico,Médico oftalmologista,147,12
2012,07,POSTO DE SAUDE,APS,225142,Médico,Médico da estratégia de saúde da família,3140,79
2012,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225180,Médico,Médico geriatra,41,2
2012,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231G1,Médico,,4,1
2013,02,CENTRAL DE REGULACAO DE SERVICOS DE SAUDE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,87,4
2013,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225155,Médico,Médico endocrinologista e metabologista,34,4
2013,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225136,Médico,Médico reumatologista,25,2
2013,04,POSTO DE SAUDE,APS,223505,Enfermeiro,Enfermeiro,1432,53
2013,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225109,Médico,Médico nefrologista,6,1
2013,10,POLICLINICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,844,57
2013,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,225285,Médico,Médico urologista,154,12
2014,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F8,Médico,,20,2
2014,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225203,Médico,Médico em cirurgia vascular,20,1
2015,06,POLICLINICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1591,96
2015,06,HOSPITAL ESPECIALIZADO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,3598,212
2015,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225130,Médico,Médico de família e comunidade,2720,68
2018,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225270,Médico,Médico ortopedista e traumatologista,324,23
2018,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225136,Médico,Médico reumatologista,5,1
2019,01,CENTRAL DE REGULACAO DO ACESSO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,102,6
2019,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F9,Médico,,150,5
2019,10,POSTO DE SAUDE,APS,225120,Médico,Médico cardiologista,8,1
2020,01,POSTO DE SAUDE,APS,225120,Médico,Médico cardiologista,8,1
2020,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225105,Médico,Médico acupunturista,20,1
2020,10,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225130,Médico,Médico de família e comunidade,20,1
2021,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225142,Médico,Médico da estratégia de saúde da família,68288,1733
2021,02,POSTO DE SAUDE,APS,225270,Médico,Médico ortopedista e traumatologista,10,1
2021,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,72324,1823
2021,09,CLINICA/CENTRO DE ESPECIALIDADE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1553,136
2021,09,POSTO DE SAUDE,APS,225133,Médico,Médico psiquiatra,22,2
2009,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,223110,Médico,,512,45
2010,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,223505,Enfermeiro,Enfermeiro,11100,374
2010,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,35,6
2010,07,POSTO DE SAUDE,APS,223132,Médico,,186,18
2010,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,223129,Médico,,54,2
2010,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,2235C2,Enfermeiro,,1877,61
2010,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F3,Médico,,20,1
2011,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,223144,Médico,,137,12
2011,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,223125,Médico,,231,16
2011,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,223122,Médico,,44,2
2011,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225109,Médico,Médico nefrologista,26,2
2011,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225170,Médico,Médico generalista,64,3
2012,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F8,Médico,,20,2
2012,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225280,Médico,Médico coloproctologista,20,3
2012,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,225112,Médico,Médico neurologista,90,11
2013,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225280,Médico,Médico coloproctologista,20,3
2013,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225125,Médico,Médico clínico,6868,433
2013,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225124,Médico,Médico pediatra,2818,161
2014,06,POSTO DE SAUDE,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,3692,94
2014,06,CENTRAL DE GESTAO EM SAUDE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,100,5
2014,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,223560,Enfermeiro,Enfermeiro sanitarista,80,2
2014,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225115,Médico,Médico angiologista,30,2
2014,08,POSTO DE SAUDE,APS,225130,Médico,Médico de família e comunidade,40,1
2014,11,HOSPITAL ESPECIALIZADO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,3479,204
2014,11,UNIDADE DE ATENCAO A SAUDE INDIGENA,APS,223505,Enfermeiro,Enfermeiro,20,1
2015,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225165,Médico,Médico gastroenterologista,28,4
2016,06,CENTRAL DE GESTAO EM SAUDE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,100,5
2016,06,POSTO DE SAUDE,APS,225275,Médico,Médico otorrinolaringologista,5,1
2017,03,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,283,18
2017,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,225115,Médico,Médico angiologista,23,2
2017,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,223530,Enfermeiro,Enfermeiro do trabalho,40,1
2017,03,POSTO DE SAUDE,APS,225124,Médico,Médico pediatra,144,9
2017,04,LABORATORIO DE SAUDE PUBLICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,40,2
2017,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,225255,Médico,Médico mastologista,23,3
2018,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225133,Médico,Médico psiquiatra,580,37
2018,01,PRONTO ATENDIMENTO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,31,3
2019,08,POSTO DE SAUDE,APS,225225,Médico,Médico cirurgião geral,8,1
2019,08,POSTO DE SAUDE,APS,225250,Médico,Médico ginecologista e obstetra,125,14
2020,04,POSTO DE SAUDE,APS,225250,Médico,Médico ginecologista e obstetra,125,11
2021,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225155,Médico,Médico endocrinologista e metabologista,164,11
2007,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,223126,Médico,,12,2
2007,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,2235C2,Enfermeiro,,2245,72
2007,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,223110,Médico,,458,49
2007,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,223107,Médico,,20,1
2008,09,POSTO DE SAUDE,APS,2235C1,Enfermeiro,,2000,50
2008,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,223157,Médico,,334,20
2009,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,223136,Médico,,62,4
2009,01,POSTO DE SAUDE,APS,223138,Médico,,15,1
