"","macrorregiao","mes_ano","nivel_atencao","categoria","fte_mensal","qtd_mensal"
"1","Macrorregião Centro-Norte",2007-08-01,"APS","Enfermeiro",44620,278.875
"2","Macrorregião Centro-Norte",2007-08-01,"APS","Médico",47324,295.775
"3","Macrorregião Centro-Norte",2007-08-01,"Atenção Secundária","Enfermeiro",120,0.75
"4","Macrorregião Centro-Norte",2007-09-01,"APS","Enfermeiro",42824,267.65
"5","Macrorregião Centro-Norte",2007-09-01,"APS","Médico",45460,284.125
"6","Macrorregião Centro-Norte",2007-09-01,"Atenção Secundária","Enfermeiro",280,1.75
"7","Macrorregião Centro-Norte",2007-10-01,"APS","Enfermeiro",43464,271.65
"8","Macrorregião Centro-Norte",2007-10-01,"APS","Médico",46208,288.8
"9","Macrorregião Centro-Norte",2007-10-01,"Atenção Secundária","Enfermeiro",280,1.75
"10","Macrorregião Centro-Norte",2007-11-01,"APS","Enfermeiro",39584,247.4
"11","Macrorregião Centro-Norte",2007-11-01,"APS","Médico",42988,268.675
"12","Macrorregião Centro-Norte",2007-11-01,"Atenção Secundária","Enfermeiro",280,1.75
"13","Macrorregião Centro-Norte",2007-12-01,"APS","Enfermeiro",44144,275.9
"14","Macrorregião Centro-Norte",2007-12-01,"APS","Médico",47652,297.825
"15","Macrorregião Centro-Norte",2007-12-01,"Atenção Secundária","Enfermeiro",280,1.75
"16","Macrorregião Centro-Norte",2008-01-01,"APS","Enfermeiro",44368,277.3
"17","Macrorregião Centro-Norte",2008-01-01,"APS","Médico",46944,293.4
"18","Macrorregião Centro-Norte",2008-01-01,"Atenção Secundária","Enfermeiro",280,1.75
"19","Macrorregião Centro-Norte",2008-02-01,"APS","Enfermeiro",45248,282.8
"20","Macrorregião Centro-Norte",2008-02-01,"APS","Médico",48392,302.45
"21","Macrorregião Centro-Norte",2008-02-01,"Atenção Secundária","Enfermeiro",320,2
"22","Macrorregião Centro-Norte",2008-03-01,"APS","Enfermeiro",45648,285.3
"23","Macrorregião Centro-Norte",2008-03-01,"APS","Médico",48724,304.525
"24","Macrorregião Centro-Norte",2008-03-01,"Atenção Secundária","Enfermeiro",320,2
